name,content,rater_id,natural_rating,abstract_rating,condition,sentence_source,stimuli_type,gender,age,model_batch,im_r,im_i,choices_r,choices_i,targets_r,targets_i
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,35,2.0,2.0,n,news,original,Female,36.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,36,3.0,3.0,n,news,original,Male,46.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,37,4.0,2.0,n,news,original,Male,23.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,38,3.0,3.0,n,news,original,Female,72.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,39,3.0,1.0,n,news,original,Male,37.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,40,3.0,2.0,n,news,original,Male,60.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,41,3.0,2.0,n,news,original,Male,34.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,42,3.0,2.0,n,news,original,Male,43.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,43,3.0,3.0,relevant,news,original,Female,46.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,44,2.0,3.0,relevant,news,original,Female,25.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,45,4.0,1.0,relevant,news,original,Female,33.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,46,4.0,1.0,relevant,news,original,Male,59.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,47,4.0,2.0,relevant,news,original,Male,43.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,48,3.0,2.0,relevant,news,original,Male,51.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,49,4.0,1.0,relevant,news,original,Male,50.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,50,2.0,1.0,relevant,news,original,Male,50.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,51,4.0,3.0,relevant,news,original,Male,28.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,52,3.0,1.0,relevant,news,original,Female,42.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,53,3.0,2.0,relevant,news,original,Female,23.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,54,4.0,2.0,relevant,news,original,Female,21.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,55,3.0,2.0,relevant,news,original,Female,70.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,56,3.0,2.0,relevant,news,original,Male,38.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,57,2.0,3.0,relevant,news,original,Male,27.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,58,3.0,1.0,relevant,news,original,Female,46.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,59,1.0,3.0,relevant,news,original,Male,20.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,60,2.0,3.0,relevant,news,original,Male,38.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,61,4.0,1.0,relevant,news,original,Male,26.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",19,4.0,1.0,irrelevant,news,original,Female,60.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",9,2.0,2.0,irrelevant,news,original,Male,70.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",10,3.0,1.0,irrelevant,news,original,Male,53.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",18,4.0,2.0,irrelevant,news,original,Female,72.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",6,3.0,1.0,irrelevant,news,original,Male,39.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",14,4.0,1.0,irrelevant,news,original,Female,51.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",20,4.0,1.0,irrelevant,news,original,Male,75.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",4,4.0,1.0,irrelevant,news,original,Female,56.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",8,4.0,1.0,irrelevant,news,original,Female,30.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",7,4.0,1.0,irrelevant,news,original,Male,54.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",15,3.0,1.0,irrelevant,news,original,Female,51.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",13,4.0,1.0,irrelevant,news,original,Male,52.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",1,4.0,1.0,irrelevant,news,original,Female,62.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",17,4.0,2.0,irrelevant,news,original,Male,42.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",12,4.0,2.0,irrelevant,news,original,Female,22.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",2,4.0,1.0,irrelevant,news,original,Female,33.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",5,4.0,1.0,irrelevant,news,original,Male,69.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",3,4.0,1.0,irrelevant,news,original,Female,54.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",16,4.0,1.0,irrelevant,news,original,Male,23.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",21,4.0,2.0,irrelevant,news,original,Male,61.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",11,4.0,1.0,irrelevant,news,original,Male,45.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",27,4.0,4.0,n,news,original,Male,48.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",42,3.0,1.0,n,news,original,Male,43.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",28,4.0,1.0,n,news,original,Female,58.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",26,4.0,1.0,n,news,original,Female,38.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",36,3.0,2.0,n,news,original,Male,46.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",40,4.0,2.0,n,news,original,Male,60.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",25,3.0,1.0,n,news,original,Male,41.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",22,3.0,2.0,n,news,original,Male,57.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",33,3.0,2.0,n,news,original,Female,57.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",34,4.0,2.0,n,news,original,Male,67.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",35,3.0,2.0,n,news,original,Female,36.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",37,4.0,1.0,n,news,original,Male,23.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",38,2.0,1.0,n,news,original,Female,72.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",30,4.0,1.0,n,news,original,Female,38.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",39,3.0,1.0,n,news,original,Male,37.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",41,4.0,1.0,n,news,original,Male,34.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",32,4.0,1.0,n,news,original,Female,27.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",31,3.0,3.0,n,news,original,Female,41.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",23,3.0,2.0,n,news,original,Male,71.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",24,3.0,1.0,n,news,original,Female,51.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",29,4.0,4.0,n,news,original,Female,19.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",43,3.0,3.0,relevant,news,original,Female,46.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",60,2.0,3.0,relevant,news,original,Male,38.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",52,4.0,1.0,relevant,news,original,Female,42.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",53,4.0,1.0,relevant,news,original,Female,23.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",59,4.0,1.0,relevant,news,original,Male,20.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
or2,"But in recent years firms have been moving that work into much more remote areas, where costs for staff and space are lower.",48,4.0,2.0,relevant,news,original,Male,51.0,batch1,im2,im17,"the pointy trees,the skyscrapers,the solar panel","the brain,the lightning,everything equal",the solar panel,everything equal
